"ModId","Name","Version","FileVersion","Jar","AllModIds","SHA256","MetadataPath","MetadataSource","Confidence","Namespaces"
"freecam","Freecam","1.3.0+mc1.21","1.3.0","freecam-neoforge-1.3.0+mc1.21.jar","freecam","09B865A3987A0F1C87BCC9430550CCC4107729F29BFF53A1CD5AB1E9C3D82376","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","freecam"
"ftbbackups3","FTB Backups 3","21.1.5","21.1.5","ftb-backups-3-21.1.5.jar","ftbbackups3","B769EB27E8A26C8A894D87AE0BEA5C544EBB3EF6712AF2F79CD6EF16AFE685D4","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ftbbackups3"
"ftbchunks","FTB Chunks","2101.1.21","2101.1.21","ftb-chunks-neoforge-2101.1.21.jar","ftbchunks","2CC32A613DD04D9355B88E6F455235AAF00768C270489657C9949F23B9195588","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","abundance;ae2;ars_elemental;ars_nouveau;autumnity;betterendforge;biomesoplenty;byg;create;environmental;ftbchunks;integrateddynamics;minecraft;mininggadgets;myrtrees;pneumaticcraft;projectred-exploration;projectvibrantjourneys;psi;traverse"
"ftbessentials","FTB Essentials","2101.1.10","2101.1.10","ftb-essentials-neoforge-2101.1.10.jar","ftbessentials","A61DE1B883EC9D6D652276F453E8E60B18BD315FEF8C62F21D6545260D526587","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ftbessentials"
"ftbfiltersystem","FTB Filter System","21.1.4","21.1.4","ftb-filter-system-neoforge-21.1.4.jar","ftbfiltersystem","B8700E8BFD9C78B09BC7819CB28A6318B20D2BF68969BC6894A0BFA39581A99B","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ftbfiltersystem"
"ftbjeiextras","FTB Jei Extras","21.1.7","21.1.7","ftb-jei-extras-21.1.7.jar","ftbjeiextras","141B02587D71A6591E71C1ED50DE5DDD5B297BB580E26AABF1273BB6FBDBE6DD","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ftbjeiextras"
"ftblibrary","FTB Library","2101.1.35","2101.1.35","ftb-library-neoforge-2101.1.35.jar","ftblibrary","BE7B2BD0B5370A9951624A1D84FD802EFECAE88D5A0CD24552731F887430599D","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ftblibrary;minecraft"
"ftbquests","FTB Quests","2101.1.30","2101.1.30","ftb-quests-neoforge-2101.1.30.jar","ftbquests","7D6EE49F42716ECA803F2C68E70D9FE6CB5C0DED9F629CE28C5955DED46D4D51","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ftbquests;minecraft"
"ftbteams","FTB Teams","2101.1.10","2101.1.10","ftb-teams-neoforge-2101.1.10.jar","ftbteams","A656F2AA0E11A933AAB3BA697690AA0EB2041F65E6C5DAA448897EE0A6D37A6C","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ftbteams"
"ftbultimine","FTB Ultimine","2101.1.15","2101.1.15","ftb-ultimine-neoforge-2101.1.15.jar","ftbultimine","1393A85CEB6E4794450D5F06043E3A033278E31B86DE8E03950D8B87604B2213","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ftbultimine"
"ftbxaerocompat","FTB Chunks x Xaero's Map Compat","1.1.4","1.1.4","ftbxaerocompat-neoforge-1.1.4.jar","ftbxaerocompat","DD27664945866D4092803C261CDD0D5BA4DF755853E2CC87FAE9C96CBD986681","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ftbxaerocompat"
"ftbxmodcompat","FTB XMod Compat","21.1.10","21.1.10","ftb-xmod-compat-neoforge-21.1.10.jar","ftbxmodcompat","781CBEB22E932C7A44DE6B0B6528D86FDD30295A44F1558BCD51864DEF755419","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","ftbxmodcompat"
"functionalstorage","Functional Storage","1.21.1-1.5.4","1.5.4","functionalstorage-1.21.1-1.5.4.jar","functionalstorage","E32D625ACE9E463E313627D2FE8D50B8648B11E34B3E48AA7F165687604C8B37","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","c;functionalstorage;minecraft"
"furniture_mod_tools_refurbished","MrCrayfish's Furniture Mod Tools: Refurbished","1.0.0-neoforge-1.21.1","1.0.0","furniture_mod_tools_refurbished-1.0.0-neoforge-1.21.1.jar","furniture_mod_tools_refurbished","88A79070771AF9AA6D4A5602418C4FFE7277B014F7C073B35520B0704F80FCFE","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","furniture_mod_tools_refurbished"
"fzzy_config","Fzzy Config","0.7.6+1.21+neoforge","0.7.6","fzzy_config-0.7.6+1.21+neoforge.jar","fzzy_config","4E5CC1438087B0BC0276969E88B9AD0BDF2BCC60D6CAF5FE79E18947D7A29050","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","fzzy_config"
"gag","Gadgets Against Grind","1.21.1-5.2.0","5.2.0","gag-neoforge-1.21.1-5.2.0.jar","gag","E8E2B042FA2A69232006687D3733C5E0964A7D450B9D01FBE76F2C920C199F95","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","gag;minecraft"
"gateways","Gateways To Eternity","5.1.0","5.1.0","GatewaysToEternity-1.21.1-5.1.0.jar","gateways","5E4F87781E045E67492C0589B1062504DF76CA33215AB0358FC8E4A1BE5EFAC5","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH","gateways"
"gbf","GeckoBetterFPS","1.0.2","1.0.2","gbf-1.21.1-1.0.2.jar","gbf","48984167D9E0B3C8608497DC1A09A26B1FA26E8297B0F9E6AD065E5513A776A1","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
"geckolib","GeckoLib 4","4.9.2","4.9.2","geckolib-neoforge-1.21.1-4.9.2.jar","geckolib","5E548466AF9AB6ACA7A91A7C7D4DC0DC8BC385E22958AED5DA0E7BEBD0FA3FBA","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
"glodium","Glodium","1.21-2.2-neoforge","2.2","Glodium-1.21-2.2-neoforge.jar","glodium","369E99753DF0BDC90A38A8C52DF4ABB37BAF6B18C6CA130AF4C7BC75FB160A85","META-INF/neoforge.mods.toml","NeoForge/Forge TOML","HIGH",""
